city,timestamp,temperature,season
New York,2010-01-01,9.791598768572388,winter
New York,2010-01-02,0.06968541694293127,winter
New York,2010-01-03,4.147496861408385,winter
New York,2010-01-04,1.6991509611515154,winter
New York,2010-01-05,-10.269369280723954,winter
New York,2010-01-06,4.937663037949088,winter
New York,2010-01-07,1.5342128412161813,winter
New York,2010-01-08,0.9574773329373292,winter
New York,2010-01-09,-1.1215578835343298,winter
New York,2010-01-10,6.731359915350749,winter
New York,2010-01-11,-2.256297110234769,winter
New York,2010-01-12,-3.5961889029140917,winter
New York,2010-01-13,2.015412251932533,winter
New York,2010-01-14,-3.176543386219703,winter
New York,2010-01-15,3.4161398593792827,winter
New York,2010-01-16,-4.085252017269967,winter
New York,2010-01-17,8.854411410685834,winter
New York,2010-01-18,-1.439472387599765,winter
New York,2010-01-19,2.2001327016349927,winter
New York,2010-01-20,-0.1370333756252346,winter
New York,2010-01-21,-6.547250268061605,winter
New York,2010-01-22,-7.438713164998702,winter
New York,2010-01-23,-2.4144051037658496,winter
New York,2010-01-24,-4.708552136011657,winter
New York,2010-01-25,-1.751661858584426,winter
New York,2010-01-26,7.053688991989282,winter
New York,2010-01-27,5.09339181089263,winter
New York,2010-01-28,4.777103499813713,winter
New York,2010-01-29,4.883881693685749,winter
New York,2010-01-30,-0.3232725208337711,winter
New York,2010-01-31,2.2483306912903647,winter
New York,2010-02-01,1.3863486976413903,winter
New York,2010-02-02,-4.395422913957769,winter
New York,2010-02-03,6.913292711697672,winter
New York,2010-02-04,0.9481632793186592,winter
New York,2010-02-05,0.7707951296664017,winter
New York,2010-02-06,-5.8481322266817815,winter
New York,2010-02-07,2.6544818755865767,winter
New York,2010-02-08,8.206083642334862,winter
New York,2010-02-09,2.4658042124654935,winter
New York,2010-02-10,-1.5659062854992625,winter
New York,2010-02-11,-2.720388493231627,winter
New York,2010-02-12,-7.2091907325642275,winter
New York,2010-02-13,-3.5380771687574204,winter
New York,2010-02-14,11.626566186941465,winter
New York,2010-02-15,-1.4064054175056684,winter
New York,2010-02-16,-6.467469867414696,winter
New York,2010-02-17,-2.6997671424468024,winter
New York,2010-02-18,-2.042210185655113,winter
New York,2010-02-19,4.143215531835801,winter
New York,2010-02-20,-0.17379468177098178,winter
New York,2010-02-21,-5.2810062970698315,winter
New York,2010-02-22,-6.926952718784643,winter
New York,2010-02-23,-0.12535732282874565,winter
New York,2010-02-24,-6.34037456347338,winter
New York,2010-02-25,-4.233374330633872,winter
New York,2010-02-26,-3.035247885855064,winter
New York,2010-02-27,11.865918796733666,winter
New York,2010-02-28,-0.2828953847774087,winter
New York,2010-03-01,4.984546812995879,spring
New York,2010-03-02,5.607659006646378,spring
New York,2010-03-03,10.641663798578874,spring
New York,2010-03-04,11.420117628463311,spring
New York,2010-03-05,10.824618340302772,spring
New York,2010-03-06,10.767390451640617,spring
New York,2010-03-07,11.31716980112724,spring
New York,2010-03-08,9.95035627686384,spring
New York,2010-03-09,5.698310331335054,spring
New York,2010-03-10,10.166909962655184,spring
New York,2010-03-11,13.278599105025924,spring
New York,2010-03-12,13.688168026942611,spring
New York,2010-03-13,12.402047511434883,spring
New York,2010-03-14,2.4877779806033553,spring
New York,2010-03-15,9.83604635949142,spring
New York,2010-03-16,8.274233813366513,spring
New York,2010-03-17,11.888455312553205,spring
New York,2010-03-18,9.47064834709359,spring
New York,2010-03-19,8.422089114256146,spring
New York,2010-03-20,10.471283662424273,spring
New York,2010-03-21,7.775284383023427,spring
New York,2010-03-22,16.150373442043094,spring
New York,2010-03-23,9.739871905167401,spring
New York,2010-03-24,13.148247091025413,spring
New York,2010-03-25,12.025123833221645,spring
New York,2010-03-26,16.02233093974455,spring
New York,2010-03-27,10.598819917757446,spring
New York,2010-03-28,14.36845690331106,spring
New York,2010-03-29,12.374218874977853,spring
New York,2010-03-30,12.96763144595879,spring
New York,2010-03-31,21.671226721898908,spring
New York,2010-04-01,7.667913359954694,spring
New York,2010-04-02,15.305317808191383,spring
New York,2010-04-03,10.549859812975908,spring
New York,2010-04-04,2.136060088989593,spring
New York,2010-04-05,13.739171383365228,spring
New York,2010-04-06,13.017087834933847,spring
New York,2010-04-07,9.652055773998866,spring
New York,2010-04-08,14.087287050686617,spring
New York,2010-04-09,9.869852598919957,spring
New York,2010-04-10,-6.207047469957253,spring
New York,2010-04-11,7.1140085624111356,spring
New York,2010-04-12,6.528210716695406,spring
New York,2010-04-13,11.312855587478774,spring
New York,2010-04-14,2.4085516319588347,spring
New York,2010-04-15,5.750419214951083,spring
New York,2010-04-16,13.00893346329606,spring
New York,2010-04-17,13.462184077298932,spring
New York,2010-04-18,2.323207036378694,spring
New York,2010-04-19,22.542422737978754,spring
New York,2010-04-20,5.360034629259508,spring
New York,2010-04-21,6.543210938179401,spring
New York,2010-04-22,-0.7633980108796159,spring
New York,2010-04-23,7.530073400086515,spring
New York,2010-04-24,14.579848685289289,spring
New York,2010-04-25,-3.3387512481523025,spring
New York,2010-04-26,9.806403802763743,spring
New York,2010-04-27,14.304210523881242,spring
New York,2010-04-28,16.839739971655597,spring
New York,2010-04-29,8.71885097012993,spring
New York,2010-04-30,12.7050250483573,spring
New York,2010-05-01,9.109202567181875,spring
New York,2010-05-02,6.278874480755899,spring
New York,2010-05-03,3.678288039440332,spring
New York,2010-05-04,11.392234527189082,spring
New York,2010-05-05,5.946975214462958,spring
New York,2010-05-06,4.298149813259192,spring
New York,2010-05-07,14.419387851473601,spring
New York,2010-05-08,15.156436049786103,spring
